rank	genome_size	min_genome_size	max_genome_size
g__Dwaynesavagella	1756789.9485	1756789.9485	1756789.9485
s__Ruminococcus_B gnavus	2508890.8174	2508890.8174	2508890.8174
s__Desemzia incerta	2398468.4442	2398468.4442	2398468.4442
s__Microbacterium sp017939615	3453262.8285000003	3453262.8285000003	3453262.8285000003
g__Bacteroides	2566165.011336364	2230881.903	2982282.576
g__Alloprevotella	2570011.94465	2515670.4222000004	2624353.4671
g__RQZE01	1538963	1538963	1538963
g__Ventrimonas	2356502.225	2356502.225	2356502.225
s__Clostridium chauvoei	2679877.6199999996	2679877.6199999996	2679877.6199999996
s__Enterococcus_B faecium	2354682.2292	2354682.2292	2354682.2292
s__Romboutsia_C hominis	2640772.4598	2640772.4598	2640772.4598
g__Sporosarcina	3094506.8572333334	2877455.4067	3349105.2912
g__Mycoplasma_L	910529.0646250001	823740.1599000001	1118084.1624
s__Clostridium_P perfringens	1610194.2084000001	1610194.2084000001	1610194.2084000001
s__Escherichia coli	4020602.8048	4020602.8048	4020602.8048
g__Anaerosphaera	1620723.5982	1620723.5982	1620723.5982
s__Planococcus glaciei	3916757.7328	3916757.7328	3916757.7328
g__Faecalimonas	2025894.15108	1776168.0497	2224712.718
g__Senegalimassilia	1703362.8168	1703362.8168	1703362.8168
g__Lawsonibacter	1953637.3823000002	1932502.4200000002	1974772.3446
g__Clostridium_G	2109487.4423999996	2109487.4423999996	2109487.4423999996
s__Agathobaculum desmolans	2011107.96	2011107.96	2011107.96
g__Paraprevotella	2221960.5719999997	2221960.5719999997	2221960.5719999997
g__Dysosmobacter	2107215.3929333333	1899633.1524	2379363.5152000003
g__Faecalitalea	1674545.659	1668510.14	1680581.1779999998
g__JAGZHZ01	2569806.9467999996	2569806.9467999996	2569806.9467999996
s__Ruminococcus_E sp003526955	2092973.4317	2092973.4317	2092973.4317
g__Slackia_A	1897088.6512	1744301.9328	2184190.0208
g__MGBC107952	1176999.7064	1176999.7064	1176999.7064
s__Clostridium thermobutyricum	3189218.538	3189218.538	3189218.538
s__Clostridium_AH fallax	2741776.3404	2741776.3404	2741776.3404
s__Fusobacterium_A varium	3650936.2755	3650936.2755	3650936.2755
g__Merdivicinus	2220687.3492	2220687.3492	2220687.3492
g__Faecaligallichristensenella	2715900.201	2715900.201	2715900.201
s__Asaccharospora irregularis	2337487.44	2337487.44	2337487.44
f__Acutalibacteraceae	2029749.0276	2029749.0276	2029749.0276
g__Kocuria	2733115.5627	2733115.5627	2733115.5627
s__Morganella morganii	4190600.9335999996	4190600.9335999996	4190600.9335999996
g__Copromonas	2163252.6974	2163252.6974	2163252.6974
s__Rhodococcus gordoniae	4163564.31	4163564.31	4163564.31
g__Odoribacter	2531403.7474999996	2531403.7474999996	2531403.7474999996
s__Blautia hansenii	2599127.8836	2599127.8836	2599127.8836
g__Pelethomonas	2158294.998	2158294.998	2158294.998
s__Peptostreptococcus russellii_A	1960197.6720000003	1960197.6720000003	1960197.6720000003
g__Schaedlerella	2142168.01725	2034030.7251	2285022.7477
g__Fimenecus	1700045.6416000002	1700045.6416000002	1700045.6416000002
s__Clostridium septicum	3196906.9469999997	3196906.9469999997	3196906.9469999997
g__Micrococcus	1968229.4827999996	1968229.4827999996	1968229.4827999996
g__MGBC140090	1567445.2521000002	1567445.2521000002	1567445.2521000002
g__Avimicrobium	1748315.4908999999	1748315.4908999999	1748315.4908999999
s__Enterococcus_B hirae	2784494.8762	2784494.8762	2784494.8762
g__Faecousia	1952769.0337999999	1838867.94	2062996.9074000001
s__Marihabitans melonis	3603994.2212	3603994.2212	3603994.2212
g__Egerieenecus	2440836	2440836	2440836
g__Atopostipes	2161196.4812999996	2161196.4812999996	2161196.4812999996
g__Blautia	2223794.331	2223794.331	2223794.331
g__RGIG7332	1777439.5499999998	1777439.5499999998	1777439.5499999998
g__Brachyspira	2974058.8124	2974058.8124	2974058.8124
s__Psychrobacillus sp008807035	3954399.7214000006	3954399.7214000006	3954399.7214000006
g__Psychrobacillus	3654883.1338	3654883.1338	3654883.1338
g__Scybalocola	1869959.6739999999	1869959.6739999999	1869959.6739999999
g__Corynebacterium	2590502.50565	2498262.348	2682742.6633
s__Lawsonibacter sp900754605	2237852.3139	2237852.3139	2237852.3139
g__Hathewaya	2565295.6182000004	2565295.6182000004	2565295.6182000004
g__Phocea	1895482.5762	1895482.5762	1895482.5762
s__Corynebacterium otitidis	2006461.548	2006461.548	2006461.548
s__Limosilactobacillus mucosae	1645844.8395999998	1645844.8395999998	1645844.8395999998
s__Clostridium sp015667795	4132258.9128000005	4132258.9128000005	4132258.9128000005
g__Fusobacterium_B	1778417.7141	1778417.7141	1778417.7141
s__Clostridium_J sp000821305	3910355.2334	3910355.2334	3910355.2334
s__Collinsella stercoris	2289275.2182	2289275.2182	2289275.2182
g__Limisoma	2900739.944	2487682.2005	3313797.6875
g__OM05-12	2421693.9211999997	2421693.9211999997	2421693.9211999997
s__Holdemanella porci	2323598.148	2323598.148	2323598.148
g__Saccharofermentans	2734304.6272	2734304.6272	2734304.6272
s__Ligilactobacillus ruminis	1982463.7224	1982463.7224	1982463.7224
g__Marvinbryantia	2440434.5709	2440434.5709	2440434.5709
g__JAHALF01	1749163.9428	1745123.3856000002	1753204.5
f__Selenomonadaceae	1710118.4832	1710118.4832	1710118.4832
g__UBA7173	2299528.7190000005	2299528.7190000005	2299528.7190000005
g__Ventricola	2650921.9382	2650921.9382	2650921.9382
s__Fusobacterium_A sp900015295	1785283.2418	1785283.2418	1785283.2418
g__UBA4372	2742584.27075	2720154.1374999997	2765014.404
s__Trueperella pyogenes	2405653	2405653	2405653
g__Emergencia	1808902.596	1808902.596	1808902.596
g__Sutterella	2080721.6366749997	1837563.1862999997	2384266.0763999997
s__Vagococcus_A lutrae	1980018.9301999998	1980018.9301999998	1980018.9301999998
g__Mucispirillum	2118488.890833333	1821163.3224	2317240.3401
s__Cetobacterium_A somerae	4395782.237	4395782.237	4395782.237
f__Peptoniphilaceae	1602673.4715	1476385.2071999998	1728961.7358000001
g__Desemzia	2504288.7421	2504288.7421	2504288.7421
s__Enterococcus_B pernyi	3153089.3096000007	3153089.3096000007	3153089.3096000007
s__Clostridium_P ventriculi	2636587.6416	2636587.6416	2636587.6416
s__UBA7748 sp900314535	2251733.673	2251733.673	2251733.673
g__Dietzia	3564217.7764999997	3564217.7764999997	3564217.7764999997
g__Fimiplasma	1854820	1854820	1854820
s__Carnobacterium_A mobile	2476434.6341999997	2476434.6341999997	2476434.6341999997
s__Solibacillus silvestris	3582295.0582000003	3582295.0582000003	3582295.0582000003
g__Peptostreptococcus	1902570.8624999998	1902570.8624999998	1902570.8624999998
s__Metalachnospira sp900548595	1729896.4536	1729896.4536	1729896.4536
g__Lysinibacillus	3822376.272	3822376.272	3822376.272
g__Enteromonas	1568073.009	1568073.009	1568073.009
g__UBA1367	3179380.0228000004	3179380.0228000004	3179380.0228000004
f__Planococcaceae	2066184.2201999999	2066184.2201999999	2066184.2201999999
f__WRBN01	1328838.1424	1328838.1424	1328838.1424
s__Bifidobacterium longum	2522669.6525000003	2522669.6525000003	2522669.6525000003
s__Schaedlerella glycyrrhizinilytica_A	3052291.4265	3052291.4265	3052291.4265
s__Butyricicoccus sp018383195	2299804.3232	2299804.3232	2299804.3232
f__Sedimentibacteraceae	1634802.6359	1634802.6359	1634802.6359
g__UMGS1590	2056431.411	2056431.411	2056431.411
g__RGIG1987	637554.8802	637554.8802	637554.8802
g__Egerieimonas	2134293.9252	2134293.9252	2134293.9252
s__Niameybacter massiliensis	4145875.6437	4145875.6437	4145875.6437
g__Eubacterium	2182896.2997	2182896.2997	2182896.2997
g__Cetobacterium_A	3077918.834	3077918.834	3077918.834
s__Glutamicibacter soli	3609323.6928000003	3609323.6928000003	3609323.6928000003
s__Negativibacillus sp000435195	2245278.9666	2245278.9666	2245278.9666
g__Ornithospirochaeta	1956584.4640000002	1956584.4640000002	1956584.4640000002
g__Arthrobacter_B	4084948.0336	4084948.0336	4084948.0336
g__Alangreenwoodia	1745816.0632	1745816.0632	1745816.0632
s__Enterococcus faecalis	2891514.5436	2891514.5436	2891514.5436
s__Allobaculum stercoricanis	1920369.7799999998	1920369.7799999998	1920369.7799999998
g__Oliverpabstia	2326106.8985	2326106.8985	2326106.8985
g__W1P20-047	1719184.2593	1719184.2593	1719184.2593
s__HGM13010 sp900754965	1837299.2127	1837299.2127	1837299.2127
s__Clostridium moniliforme	2610437.5609000004	2610437.5609000004	2610437.5609000004
g__MGBC116941	1559481.264	1559481.264	1559481.264
g__VUNA01	2010397.1903999997	2010397.1903999997	2010397.1903999997
s__Plesiomonas shigelloides	2721020.6562	2721020.6562	2721020.6562
g__Faecimonas	1490387.5766	1490387.5766	1490387.5766
g__Ureaplasma	635920.5671000001	563481.1070000001	708360.0272
f__Eggerthellaceae	1961474.68535	1897672.417	2025276.9537
s__Jeotgalicoccus halotolerans	2029075.592	2029075.592	2029075.592
g__Clostridium	3288429.1843499998	2419096.5864	4157761.7823
g__RGIG3102	2354655.7808	2354655.7808	2354655.7808
f__Anaerovoracaceae	1649945.1071999997	1649945.1071999997	1649945.1071999997
g__Collinsella	2111875.5648999996	1751235.7698	2472515.36
s__Cellulosimicrobium funkei	3889776.2896000003	3889776.2896000003	3889776.2896000003
g__Fusobacterium_A	2282625.8117	2282625.8117	2282625.8117
s__Sporosarcina sp014836415	3211118.5858000005	3211118.5858000005	3211118.5858000005
g__Devosia	4226615.990999999	4226615.990999999	4226615.990999999
g__Ligilactobacillus	1273423.5	1273423.5	1273423.5
g__Negativibacillus	1980425.4511999998	1980425.4511999998	1980425.4511999998
g__Copromorpha	1678513.0544000003	1678513.0544000003	1678513.0544000003
s__Savagea serpentis	2540550.7046999997	2540550.7046999997	2540550.7046999997
s__Enterococcus_D casseliflavus	3359051.1873999997	3359051.1873999997	3359051.1873999997
g__UBA710	776215.485	776215.485	776215.485
s__Blautia_A sp900541345	2472136.8479999998	2472136.8479999998	2472136.8479999998
s__Sporosarcina sp002743255	2836322.1315	2836322.1315	2836322.1315
g__Lysinibacillus_B	3649555.8426	3649555.8426	3649555.8426
s__Rhodococcus hoagii	5912598.3118	5912598.3118	5912598.3118
s__Schaedlerella sp002320245	3150501.425	3150501.425	3150501.425
g__BX12	1840747.1615999998	1840747.1615999998	1840747.1615999998
s__Terrisporobacter othiniensis	4458867.739200001	4458867.739200001	4458867.739200001
s__Streptococcus dysgalactiae	1737544.3008	1737544.3008	1737544.3008
f__Sphaerochaetaceae	1944034.5789	1944034.5789	1944034.5789
s__Streptococcus equinus_B	1423431.3750000002	1423431.3750000002	1423431.3750000002
g__Aphodosoma	2167945.6456	2167945.6456	2167945.6456
g__Aphodousia	1472356.2	1472356.2	1472356.2
