Genome	D1_P102_M Read Count	D1_P102_M Covered Fraction	D1_P102_M Length	D1_P107_M Read Count	D1_P107_M Covered Fraction	D1_P107_M Length	D1_P167_M Read Count	D1_P167_M Covered Fraction	D1_P167_M Length	D1_P225_M Read Count	D1_P225_M Covered Fraction	D1_P225_M Length	D1_P295_M Read Count	D1_P295_M Covered Fraction	D1_P295_M Length	D1_P304_M Read Count	D1_P304_M Covered Fraction	D1_P304_M Length	D1_P46_M Read Count	D1_P46_M Covered Fraction	D1_P46_M Length	D1_P47_M Read Count	D1_P47_M Covered Fraction	D1_P47_M Length	D3_P186_M Read Count	D3_P186_M Covered Fraction	D3_P186_M Length	D3_P190_M Read Count	D3_P190_M Covered Fraction	D3_P190_M Length	D3_P191_M Read Count	D3_P191_M Covered Fraction	D3_P191_M Length	D3_P265_M Read Count	D3_P265_M Covered Fraction	D3_P265_M Length	D3_P266_M Read Count	D3_P266_M Covered Fraction	D3_P266_M Length	D3_P41_M Read Count	D3_P41_M Covered Fraction	D3_P41_M Length	D3_P75_M Read Count	D3_P75_M Covered Fraction	D3_P75_M Length	D3_P9_M Read Count	D3_P9_M Covered Fraction	D3_P9_M Length	G1_P178_M Read Count	G1_P178_M Covered Fraction	G1_P178_M Length	G1_P196_M Read Count	G1_P196_M Covered Fraction	G1_P196_M Length	G1_P276_M Read Count	G1_P276_M Covered Fraction	G1_P276_M Length	G1_P291_M Read Count	G1_P291_M Covered Fraction	G1_P291_M Length	G1_P294_M Read Count	G1_P294_M Covered Fraction	G1_P294_M Length	G1_P43_M Read Count	G1_P43_M Covered Fraction	G1_P43_M Length	G1_P74_M Read Count	G1_P74_M Covered Fraction	G1_P74_M Length	G1_P82_M Read Count	G1_P82_M Covered Fraction	G1_P82_M Length	G3_P143_M Read Count	G3_P143_M Covered Fraction	G3_P143_M Length	G3_P149_M Read Count	G3_P149_M Covered Fraction	G3_P149_M Length	G3_P14_M Read Count	G3_P14_M Covered Fraction	G3_P14_M Length	G3_P179_M Read Count	G3_P179_M Covered Fraction	G3_P179_M Length	G3_P212_M Read Count	G3_P212_M Covered Fraction	G3_P212_M Length	G3_P261_M Read Count	G3_P261_M Covered Fraction	G3_P261_M Length	G3_P301_M Read Count	G3_P301_M Covered Fraction	G3_P301_M Length	G3_P84_M Read Count	G3_P84_M Covered Fraction	G3_P84_M Length
all_samples_bin.10	18071	0.6457299	1309515	37488	0.8004536	1309515	5931	0.34249246	1309515	343498	0.9708678	1309515	84830	0.9534866	1309515	438420	0.9865011	1309515	73877	0.9146531	1309515	60078	0.91497386	1309515	2854	0.13659026	1309515	1329	0.08696655	1309515	391	0.020969596	1309515	1623	0.093651466	1309515	8140	0.37638134	1309515	69883	0.8882441	1309515	23574	0.66211534	1309515	8186	0.31805745	1309515	37014	0.79381526	1309515	10933	0.35269013	1309515	73669	0.8153263	1309515	27963	0.6705368	1309515	60681	0.8565683	1309515	246059	0.96146286	1309515	3177	0.14325456	1309515	8790	0.32792065	1309515	8108	0.17773145	1309515	25221	0.5018789	1309515	2030	0.035494056	1309515	1407	0.07493385	1309515	2164	0.1239016	1309515	44293	0.8285335	1309515	5249	0.277712	1309515	35056	0.24791545	1309515
all_samples_bin.110	384	0.01799471	1763574	41034	0.21977359	1763574	245	0.015267859	1763574	3184	0.099374905	1763574	2086	0.08808023	1763574	20598	0.19927771	1763574	2267	0.07381318	1763574	3992	0.14981112	1763574	934	0.045113504	1763574	5117	0.22859602	1763574	57216	0.3039141	1763574	5980	0.210108	1763574	5282	0.1951622	1763574	28507	0.7182942	1763574	2427	0.08552462	1763574	4310	0.11211494	1763574	318157	0.38737077	1763574	12682	0.4961816	1763574	2861	0.099645376	1763574	67194	0.93462026	1763574	15682	0.1879734	1763574	20668	0.2525162	1763574	3702	0.11521603	1763574	60594	0.91550565	1763574	24946	0.21086726	1763574	37370	0.8278303	1763574	1161	0.057221867	1763574	16577	0.34753233	1763574	3643	0.11532887	1763574	4326	0.13028713	1763574	122	0.0070861783	1763574	1440	0.059233125	1763574
all_samples_bin.111	349	0.015391267	1947468	1245	0.057712886	1947468	51	0.0027435625	1947468	48	0.0028406116	1947468	883	0.048387446	1947468	69	0.0029371472	1947468	29	0.0012082355	1947468	6432	0.08902483	1947468	118	0.0061330916	1947468	8678	0.10055056	1947468	7055	0.0804614	1947468	24	0.0014095225	1947468	14	0.0007522588	1947468	485351	0.99545926	1947468	91	0.0035528184	1947468	3825	0.11623965	1947468	1482	0.043067202	1947468	1711	0.046846982	1947468	1712	0.072201446	1947468	1100	0.055476137	1947468	3177	0.0636488	1947468	16	0.0007738253	1947468	2524	0.10181477	1947468	408	0.018130207	1947468	45	0.0024719276	1947468	899	0.031308345	1947468	26	0.0013643357	1947468	2136	0.06629634	1947468	1575	0.043853354	1947468	629	0.024491802	1947468	15	0.00094841095	1947468	1072	0.050081953	1947468
all_samples_bin.112	5788	0.2098773	1454488	3249	0.1729722	1454488	4348	0.24233407	1454488	8031	0.3604822	1454488	13463	0.43424216	1454488	14473	0.5023245	1454488	1209	0.044041615	1454488	3690	0.079866596	1454488	3246	0.04672572	1454488	2990	0.1520707	1454488	77027	0.90695006	1454488	1188	0.054429464	1454488	977	0.05458553	1454488	7319	0.2173404	1454488	1927	0.06294174	1454488	3200	0.08686149	1454488	6945	0.18906997	1454488	30798	0.7677987	1454488	7324	0.21305642	1454488	81556	0.9421391	1454488	46136	0.85423326	1454488	77456	0.9207302	1454488	283	0.013172333	1454488	209284	0.9889583	1454488	4596	0.19527283	1454488	460586	0.98502976	1454488	4012	0.042835694	1454488	183141	0.9647285	1454488	8890	0.2572878	1454488	46391	0.8777831	1454488	37574	0.8607118	1454488	1625	0.076047376	1454488
all_samples_bin.113	302	0.028731408	1085676	3922	0.22818686	1085676	763	0.07312771	1085676	619	0.00772422	1085676	493	0.017278636	1085676	318199	0.9825657	1085676	1223	0.0741934	1085676	239	0.01494829	1085676	4982	0.28893518	1085676	622	0.05012361	1085676	65	0.004502264	1085676	2541	0.1707222	1085676	3665	0.26309967	1085676	60217	0.91607535	1085676	20709	0.71528983	1085676	2777	0.15113533	1085676	59	0.0039035587	1085676	9537	0.08547209	1085676	586	0.028559165	1085676	10818	0.112261854	1085676	5864	0.07172121	1085676	247	0.008862681	1085676	167	0.011547644	1085676	895	0.074438415	1085676	9034	0.07065459	1085676	580	0.026872657	1085676	91	0.0064660176	1085676	147	0.008820311	1085676	2729	0.109675445	1085676	38352	0.138452	1085676	500	0.0345453	1085676	917	0.01255439	1085676
all_samples_bin.114	3665	0.037586503	2522448	408	0.006746621	2522448	549	0.010328459	2522448	1167	0.010339162	2522448	2905	0.016180314	2522448	3187	0.01734466	2522448	1443	0.044316076	2522448	5063	0.014161243	2522448	15078	0.33797407	2522448	1457	0.018309198	2522448	2700	0.012655959	2522448	1604	0.0461734	2522448	306	0.0056718714	2522448	19415	0.23842712	2522448	1853	0.019986536	2522448	488531	0.99691963	2522448	5567	0.010784365	2522448	6229	0.015419545	2522448	7189	0.018050322	2522448	3656	0.016741278	2522448	11548	0.020106262	2522448	15195	0.055903234	2522448	376	0.007275472	2522448	11174	0.065506205	2522448	920	0.00922239	2522448	24971	0.29208848	2522448	7869	0.09156343	2522448	13970	0.020573268	2522448	1298	0.008100861	2522448	4937	0.055124227	2522448	1873	0.012891445	2522448	1416	0.018486407	2522448
all_samples_bin.115	3820	0.023970287	2759458	157	0.0033419607	2759458	652	0.010215412	2759458	972	0.011926255	2759458	2088	0.01830142	2759458	6158	0.06359003	2759458	1058	0.031182572	2759458	5358	0.03677751	2759458	354259	0.9890203	2759458	1902	0.018900814	2759458	2173	0.018028902	2759458	382	0.006008064	2759458	714	0.027175626	2759458	7499	0.04714259	2759458	2677	0.04883133	2759458	11216	0.1038704	2759458	1833	0.0125919655	2759458	3702	0.014120164	2759458	3637	0.01659565	2759458	2270	0.017860753	2759458	8854	0.024626212	2759458	11409	0.09188797	2759458	186	0.004305193	2759458	7125	0.022764977	2759458	791	0.012034972	2759458	33229	0.29799694	2759458	6309	0.14990081	2759458	52061	0.7350208	2759458	483	0.007841033	2759458	3401	0.055195983	2759458	804	0.009697194	2759458	2842	0.049268372	2759458
all_samples_bin.116	91	0.0044416385	2127143	460	0.019444391	2127143	191	0.008552317	2127143	23535	0.57969725	2127143	32697	0.73847693	2127143	67869	0.914734	2127143	9312	0.25484464	2127143	2681	0.10332403	2127143	622	0.023734653	2127143	206	0.008985291	2127143	262	0.008983881	2127143	146	0.007791672	2127143	220	0.009709737	2127143	117	0.0055238414	2127143	158	0.006442444	2127143	273	0.00967871	2127143	86	0.0032428473	2127143	69	0.0010177972	2127143	185	0.005373405	2127143	323	0.005330154	2127143	333	0.011155808	2127143	195	0.00053640024	2127143	529	0.017746808	2127143	754	0.007417931	2127143	2063	0.06263284	2127143	588	0.016533444	2127143	137	0.00071598386	2127143	70618	0.8905767	2127143	746	0.025463263	2127143	356	0.0033946943	2127143	231	0.0013370046	2127143	24534	0.5156235	2127143
all_samples_bin.117	4464	0.19040725	1460664	6045	0.037623983	1460664	226527	0.9604563	1460664	24156	0.04414362	1460664	5174	0.093769684	1460664	46767	0.37505546	1460664	4569	0.06084767	1460664	94621	0.060093217	1460664	5962	0.029685814	1460664	2799	0.09005425	1460664	2054	0.12722775	1460664	5827	0.3309981	1460664	8488	0.29128465	1460664	90196	0.9051952	1460664	9447	0.061273504	1460664	6668	0.34123933	1460664	105294	0.06640336	1460664	16035	0.07786459	1460664	6450	0.31272832	1460664	10135	0.06331504	1460664	31235	0.119178675	1460664	38359	0.3735219	1460664	2646	0.051227387	1460664	2484629	0.98548126	1460664	28093	0.78358406	1460664	2053	0.1185009	1460664	80548	0.9165489	1460664	444627	0.98330075	1460664	203275	0.9401389	1460664	16783	0.07927901	1460664	6798	0.10293058	1460664	2649	0.13635306	1460664
all_samples_bin.118	1234	0.070922524	1203017	646	0.04405507	1203017	1664	0.13147528	1203017	1721	0.107601136	1203017	3824	0.2463739	1203017	7533	0.4020392	1203017	1422	0.08035464	1203017	1352	0.07078952	1203017	676	0.02680012	1203017	836	0.056966778	1203017	12158	0.5404096	1203017	255	0.018054608	1203017	319	0.023074487	1203017	5186	0.2824607	1203017	915	0.060113862	1203017	588	0.02578434	1203017	3190	0.17473984	1203017	6103	0.34374577	1203017	4205	0.23435663	1203017	10541	0.53138566	1203017	6593	0.34138834	1203017	7864	0.39642915	1203017	121	0.008599213	1203017	58303	0.9772954	1203017	2578	0.1514617	1203017	19407	0.70455444	1203017	361	0.0097837355	1203017	34821	0.9072033	1203017	1250	0.0893196	1203017	14385	0.66348773	1203017	7632	0.45460206	1203017	1601	0.09464122	1203017
all_samples_bin.119	25005	0.78628373	1389370	4092	0.2326954	1389370	2366	0.15864313	1389370	6553	0.34566963	1389370	5350	0.20556223	1389370	7095	0.32357183	1389370	2088	0.12558858	1389370	76957	0.97852695	1389370	7259	0.3651468	1389370	5059	0.26284358	1389370	5893	0.26183307	1389370	1736	0.11770874	1389370	2164	0.14647502	1389370	22783	0.7513456	1389370	7226	0.36631855	1389370	23173	0.7371578	1389370	68388	0.97078246	1389370	72067	0.9793187	1389370	6411	0.28742018	1389370	10384	0.38228983	1389370	38716	0.8960586	1389370	23795	0.7288116	1389370	889	0.05611896	1389370	46777	0.9045697	1389370	12524	0.5461713	1389370	12764	0.3992968	1389370	17891	0.67631155	1389370	11868	0.3087313	1389370	2372	0.11041911	1389370	9131	0.42145216	1389370	5024	0.2460734	1389370	569	0.031702857	1389370
all_samples_bin.11	342	0.0053460523	1471366	333	0.015462502	1471366	173	0.010732884	1471366	30371	0.78993464	1471366	18716	0.6808619	1471366	56299	0.93237305	1471366	9804	0.37486458	1471366	3437	0.14085142	1471366	1013	0.04880159	1471366	882	0.035192467	1471366	53747	0.9294445	1471366	1019	0.061067063	1471366	3369	0.17540707	1471366	315	0.011610299	1471366	9572	0.3794345	1471366	2667	0.13322654	1471366	154	0.0046670916	1471366	94	0.0014571494	1471366	94	0.003220137	1471366	27182	0.75937057	1471366	322	0.004399993	1471366	169	0.0025520502	1471366	19	0.00023447599	1471366	284	0.00966177	1471366	512	0.01837816	1471366	239	0.0072082677	1471366	268	0.01128747	1471366	401	0.011502916	1471366	1011	0.04358127	1471366	4427	0.235734	1471366	118	0.0026023437	1471366	216	0.0077839233	1471366
all_samples_bin.120	5920	0.20264177	2062329	982	0.03789696	2062329	354	0.018003916	2062329	1528	0.05654093	2062329	7050	0.27191007	2062329	10665	0.34651455	2062329	3079	0.09543191	2062329	1015	0.03260246	2062329	280	0.011357548	2062329	126	0.0058521214	2062329	97	0.00461711	2062329	122	0.0048071863	2062329	1294	0.04825467	2062329	6562	0.16729435	2062329	3091	0.101856686	2062329	740	0.024453906	2062329	1461	0.049396582	2062329	3923	0.13993935	2062329	2833	0.09463379	2062329	39286	0.7886346	2062329	12613	0.39347455	2062329	1390	0.049988143	2062329	127	0.0044027893	2062329	3928	0.13576399	2062329	2102	0.06928138	2062329	37289	0.68348795	2062329	167	0.006943606	2062329	533	0.014911297	2062329	10898	0.29966462	2062329	34152	0.76990044	2062329	20952	0.6182486	2062329	609	0.018911144	2062329
all_samples_bin.121	404	0.012282105	1578801	303	0.015215977	1578801	202	0.012616537	1578801	198	0.0078546945	1578801	723	0.029568007	1578801	837	0.031056479	1578801	184	0.008186592	1578801	480	0.009511015	1578801	476	0.006204075	1578801	291	0.014812507	1578801	332	0.0071041253	1578801	131	0.0024125902	1578801	51	0.0016873564	1578801	1027	0.01815935	1578801	186	0.005100073	1578801	657	0.013857352	1578801	578	0.016560035	1578801	834	0.017696973	1578801	1207	0.03572838	1578801	14471	0.5498166	1578801	6255	0.2596236	1578801	3254	0.122675374	1578801	114	0.007266907	1578801	6941	0.29004288	1578801	439	0.022809714	1578801	31007	0.7690469	1578801	18817	0.67085594	1578801	2138	0.08622303	1578801	343	0.013035208	1578801	19583	0.69461	1578801	1523	0.0867101	1578801	332	0.010110204	1578801
all_samples_bin.122	58497	0.83881605	2252445	1778	0.060225222	2252445	10218	0.34939986	2252445	18671	0.51257503	2252445	26450	0.5915887	2252445	22649	0.4778776	2252445	3582	0.10884572	2252445	17570	0.36316848	2252445	15416	0.34675077	2252445	16655	0.46477893	2252445	3409	0.05485772	2252445	3170	0.11843575	2252445	3044	0.12160918	2252445	34450	0.5750871	2252445	8348	0.24606949	2252445	52628	0.7975218	2252445	32628	0.6734069	2252445	30598	0.632827	2252445	51811	0.78197956	2252445	54633	0.8433329	2252445	60148	0.8195339	2252445	94848	0.86702275	2252445	1630	0.055552967	2252445	96749	0.9188504	2252445	10752	0.28756618	2252445	692212	0.98084307	2252445	8468	0.05659139	2252445	72223	0.86809933	2252445	9037	0.29861638	2252445	112116	0.9477887	2252445	16743	0.47662917	2252445	3997	0.09747008	2252445
all_samples_bin.123	32350	0.79414743	1447259	5056	0.29654402	1447259	14316	0.58930916	1447259	40584	0.8368654	1447259	869404	0.9685965	1447259	175695	0.95281565	1447259	89232	0.9249906	1447259	8395	0.32657528	1447259	11036	0.43151847	1447259	20451	0.7020602	1447259	10058	0.4933996	1447259	7353	0.38709933	1447259	10117	0.45588523	1447259	45645	0.84545475	1447259	26055	0.7171377	1447259	14769	0.5309651	1447259	4365	0.13305773	1447259	6142	0.13694715	1447259	23696	0.5884565	1447259	698937	0.95274305	1447259	27596	0.7549962	1447259	70279	0.797766	1447259	2445	0.12107301	1447259	2472267	0.95544684	1447259	111269	0.9299123	1447259	918478	0.96614707	1447259	3919	0.13970892	1447259	3903485	0.9488101	1447259	2665	0.11088755	1447259	56741	0.88338715	1447259	144177	0.9435464	1447259	12754	0.531247	1447259
all_samples_bin.124	21810	0.48009408	2148606	20573	0.5070515	2148606	7779	0.30446345	2148606	32383	0.6560714	2148606	399329	0.9794769	2148606	317553	0.9764112	2148606	95852	0.8785003	2148606	15911	0.3855053	2148606	5418	0.18832768	2148606	761	0.02875539	2148606	2596	0.1080831	2148606	2687	0.094941095	2148606	15167	0.39624995	2148606	117247	0.8851562	2148606	19281	0.4377224	2148606	15637	0.38482764	2148606	30104	0.591537	2148606	93901	0.89323777	2148606	52636	0.76370263	2148606	1221450	0.9921228	2148606	57348	0.7736593	2148606	36774	0.68587494	2148606	1687	0.055118527	2148606	97863	0.9057575	2148606	154910	0.90688473	2148606	626526	0.9842693	2148606	4278	0.16007216	2148606	13728	0.368498	2148606	111607	0.894345	2148606	1326451	0.9932021	2148606	392106	0.9843005	2148606	20272	0.43423223	2148606
