sample,bacterial_archaeal_bases,metagenome_size,read_fraction,average_bacterial_archaeal_genome_size,warning,bioproject,Gbp,library_strategy,library_selection,model,sample_name,taxon_name,lower_bound,upper_bound,size_range,smf
ERR599125,4964159802,7569000000.0,65.59%,2294175,,PRJEB1787,7.569,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000809,marine metagenome,0.22,3.0,0.22-3.0,65.59
ERR598981,3885705837,4434000000.0,87.63%,2119202,,PRJEB1787,4.434,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000959,marine metagenome,0.22,3.0,0.22-3.0,87.63
ERR599033,8159716394,9878000000.0,82.60%,1974614,,PRJEB1787,9.879,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000678,marine metagenome,0.22,3.0,0.22-3.0,82.6
ERR598949,4011112117,6211000000.0,64.58%,1690954,,PRJEB1787,6.211,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000073,marine metagenome,0.22,1.6,0.22-1.6,64.58
ERR594289,25558558205,30701000000.0,83.25%,2910573,,PRJEB1788,30.702,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001001,marine metagenome,0.45,0.8,0.45-0.8,83.25
ERR599054,26873732394,32075000000.0,83.78%,1595361,,PRJEB1787,32.075,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000161,marine metagenome,0.22,1.6,0.22-1.6,83.78
ERR599022,3753965533,5885000000.0,63.79%,1701144,,PRJEB1787,5.886,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000524,marine metagenome,0.22,3.0,0.22-3.0,63.79
ERR599174,9205975638,14052000000.0,65.51%,1883707,,PRJEB1787,14.053,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000475,marine metagenome,0.22,3.0,0.22-3.0,65.51
ERR598978,20554215486,26380000000.0,77.92%,1620766,,PRJEB1787,26.38,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000900,marine metagenome,0.22,3.0,0.22-3.0,77.92
ERR594299,13918103186,16160000000.0,86.13%,2052031,,PRJEB1788,16.16,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000782,marine metagenome,0.22,0.45,0.22-0.45,86.13
ERR599020,29177845004,37950000000.0,76.88%,1853231,,PRJEB1787,37.951,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001079,marine metagenome,0.22,3.0,0.22-3.0,76.88
ERR599006,25790541214,39914000000.0,64.62%,1658576,,PRJEB1787,39.914,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000524,marine metagenome,0.22,3.0,0.22-3.0,64.62
ERR599165,7695541019,16861000000.0,45.64%,1971931,,PRJEB1787,16.861,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000459,marine metagenome,0.22,3.0,0.22-3.0,45.64
ERR594323,28029834177,33748000000.0,83.06%,2626102,,PRJEB1788,33.748,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000588,marine metagenome,0.45,0.8,0.45-0.8,83.06
ERR598992,22290851768,27673000000.0,80.55%,1617973,,PRJEB1787,27.674,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001115,marine metagenome,0.22,3.0,0.22-3.0,80.55
ERR599098,4973819548,5795000000.0,85.83%,1623595,,PRJEB1787,5.796,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000212,marine metagenome,0.22,1.6,0.22-1.6,85.83
ERR594322,25497028044,30899000000.0,82.52%,2505228,,PRJEB1788,30.899,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001947,marine metagenome,0.45,0.8,0.45-0.8,82.52
ERR599045,5690347648,6688000000.0,85.08%,1618954,,PRJEB1787,6.689,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000161,marine metagenome,0.22,1.6,0.22-1.6,85.08
ERR599053,23273027476,38184000000.0,60.95%,1623399,,PRJEB1787,38.185,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000287,marine metagenome,0.22,1.6,0.22-1.6,60.95
ERR599324,4255435684,29539000000.0,14.41%,2959006,,PRJEB4352,29.539,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000524,marine metagenome,0.8,5.0,0.8-5.0,14.41
ERR599310,37287944,34612000000.0,0.11%,3273744,,PRJEB4352,34.612,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001042,marine metagenome,180.0,2000.0,180.0-2000.0,0.11
ERR599137,7074292522,9466000000.0,74.73%,1694677,,PRJEB1787,9.467,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000427,marine metagenome,0.22,3.0,0.22-3.0,74.73
ERR594294,32990063538,34573000000.0,95.42%,1567141,,PRJEB1788,34.573,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000748,marine metagenome,0.22,0.45,0.22-0.45,95.42
ERR599002,25254581649,31587000000.0,79.95%,1591249,,PRJEB1787,31.588,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000214,marine metagenome,0.22,1.6,0.22-1.6,79.95
ERR599289,3941834702,35326000000.0,11.16%,3086551,,PRJEB4352,35.326,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000807,marine metagenome,0.8,5.0,0.8-5.0,11.16
ERR598988,8319926657,9341000000.0,89.07%,1804071,,PRJEB1787,9.342,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000676,marine metagenome,0.22,3.0,0.22-3.0,89.07
ERR599076,7907544872,10019000000.0,78.93%,2141150,,PRJEB1787,10.02,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001971,marine metagenome,0.22,3.0,0.22-3.0,78.93
ERR599328,3671389723,30045000000.0,12.22%,2727974,,PRJEB4352,30.046,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000600,marine metagenome,0.8,5.0,0.8-5.0,12.22
ERR599004,6735079406,8531000000.0,78.95%,2194909,,PRJEB1787,8.531,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100002003,marine metagenome,0.22,3.0,0.22-3.0,78.95
ERR599163,19941036074,23454000000.0,85.02%,1627168,,PRJEB1787,23.454,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000963,marine metagenome,0.22,3.0,0.22-3.0,85.02
ERR594343,28570027507,30655000000.0,93.20%,1527635,,PRJEB1788,30.656,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001936,marine metagenome,0.22,0.45,0.22-0.45,93.2
ERR599049,13535896773,16755000000.0,80.79%,1636753,,PRJEB1787,16.756,WGS,RANDOM,Illumina HiSeq 2000,TARA_A100001234,marine metagenome,0.22,1.6,0.22-1.6,80.79
ERR599280,5044380094,36691000000.0,13.75%,2634925,,PRJEB4352,36.691,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000598,marine metagenome,0.8,5.0,0.8-5.0,13.75
ERR599147,8163463934,9639000000.0,84.69%,2106168,,PRJEB1787,9.64,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001964,marine metagenome,0.22,3.0,0.22-3.0,84.69
ERR598966,5858044411,8631000000.0,67.87%,1622925,,PRJEB1787,8.631,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000034,marine metagenome,0.22,1.6,0.22-1.6,67.87
ERR598979,6318357687,9053000000.0,69.79%,1626351,,PRJEB1787,9.053,WGS,RANDOM,Illumina HiSeq 2000,TARA_B000000437,marine metagenome,0.22,3.0,0.22-3.0,69.79
ERR594314,2258425877,18314000000.0,12.33%,2955049,,PRJEB1788,18.315,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000114,marine metagenome,0.1,0.22,0.1-0.22,12.33
ERR599155,2767743523,4457000000.0,62.10%,1636527,,PRJEB1787,4.458,WGS,RANDOM,Illumina HiSeq 2000,TARA_A100001035,marine metagenome,0.22,1.6,0.22-1.6,62.1
ERR599011,4896357996,6630000000.0,73.85%,1618486,,PRJEB1787,6.63,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000282,marine metagenome,0.22,1.6,0.22-1.6,73.85
ERR599074,26411206575,36840000000.0,71.69%,1592167,,PRJEB1787,36.841,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000282,marine metagenome,0.22,1.6,0.22-1.6,71.69
ERR594306,25662527088,30605000000.0,83.85%,1788651,,PRJEB1788,30.605,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001978,marine metagenome,0.45,0.8,0.45-0.8,83.85
ERR599130,21494757490,35853000000.0,59.95%,1601344,,PRJEB1787,35.854,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000131,marine metagenome,0.22,1.6,0.22-1.6,59.95
ERR599279,618826708,30823000000.0,2.01%,3451733,,PRJEB4352,30.823,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001400,marine metagenome,180.0,2000.0,180.0-2000.0,2.01
ERR599322,6253127758,33840000000.0,18.48%,2954452,,PRJEB4352,33.84,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000622,marine metagenome,0.8,5.0,0.8-5.0,18.48
ERR599078,25135106838,32684000000.0,76.90%,1657879,,PRJEB1787,32.684,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001173,marine metagenome,0.22,3.0,0.22-3.0,76.9
ERR599123,25701023722,34061000000.0,75.46%,1691507,,PRJEB1787,34.062,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001741,marine metagenome,0.22,3.0,0.22-3.0,75.46
ERR599081,23832632632,28708000000.0,83.02%,1723857,,PRJEB1787,28.709,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000965,marine metagenome,0.22,3.0,0.22-3.0,83.02
ERR599062,26668524645,33471000000.0,79.68%,2050807,,PRJEB1787,33.471,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000315,marine metagenome,0.22,1.6,0.22-1.6,79.68
ERR598998,7707436699,9165000000.0,84.10%,1893975,,PRJEB1787,9.166,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000686,marine metagenome,0.22,3.0,0.22-3.0,84.1
ERR594308,14185799012,16477000000.0,86.09%,2067051,,PRJEB1788,16.478,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000782,marine metagenome,0.22,0.45,0.22-0.45,86.09
ERR599329,172878789,22112000000.0,0.78%,3352963,,PRJEB4352,22.112,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000868,marine metagenome,5.0,20.0,5.0-20.0,0.78
ERR599308,3819117912,34170000000.0,11.18%,3104217,,PRJEB4352,34.171,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000807,marine metagenome,0.8,5.0,0.8-5.0,11.18
ERR594316,3440377850,4947000000.0,69.54%,1633336,,PRJEB1788,4.947,WGS,RANDOM,Illumina HiSeq 2000,TARA_X000000950,marine metagenome,0.22,1.6,0.22-1.6,69.54
ERR599307,5032250172,32252000000.0,15.60%,3113438,,PRJEB4352,32.253,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000833,marine metagenome,0.8,5.0,0.8-5.0,15.6
ERR599248,3828860183,27722000000.0,13.81%,2779350,,PRJEB4352,27.722,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000713,marine metagenome,0.8,3.0,0.8-3.0,13.81
ERR594331,32349571287,40342000000.0,80.19%,2552474,,PRJEB1788,40.343,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000780,marine metagenome,0.45,0.8,0.45-0.8,80.19
ERR599015,7933025713,10003000000.0,79.31%,2135180,,PRJEB1787,10.004,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001971,marine metagenome,0.22,3.0,0.22-3.0,79.31
ERR599170,27399407534,38228000000.0,71.67%,1632843,,PRJEB1787,38.229,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001769,marine metagenome,0.22,3.0,0.22-3.0,71.67
ERR599079,13457874419,17316000000.0,77.72%,1688613,,PRJEB1787,17.317,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001029,marine metagenome,0.22,3.0,0.22-3.0,77.72
ERR598956,7972076415,9384000000.0,84.95%,1897982,,PRJEB1787,9.384,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000686,marine metagenome,0.22,3.0,0.22-3.0,84.95
ERR594340,26375258839,32536000000.0,81.06%,1425864,,PRJEB1788,32.536,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000992,marine metagenome,0.22,0.45,0.22-0.45,81.06
ERR599314,414739448,22362000000.0,1.85%,3036827,,PRJEB4352,22.362,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000589,marine metagenome,20.0,180.0,20.0-180.0,1.85
ERR599158,5338837528,7956000000.0,67.10%,1639591,,PRJEB1787,7.956,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000066,marine metagenome,0.22,1.6,0.22-1.6,67.1
ERR599303,45686393,20949000000.0,0.22%,2936144,,PRJEB4352,20.949,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000884,marine metagenome,180.0,2000.0,180.0-2000.0,0.22
ERR599304,105651813,33331000000.0,0.32%,3403731,,PRJEB4352,33.331,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000705,marine metagenome,20.0,180.0,20.0-180.0,0.32
ERR598994,5114980157,8130000000.0,62.91%,2009200,,PRJEB1787,8.131,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000497,marine metagenome,0.22,3.0,0.22-3.0,62.91
ERR599119,7090974386,8351000000.0,84.91%,1588010,,PRJEB1787,8.351,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001121,marine metagenome,0.22,3.0,0.22-3.0,84.91
ERR599064,21430908371,27446000000.0,78.08%,1781383,,PRJEB1787,27.447,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001063,marine metagenome,0.22,3.0,0.22-3.0,78.08
ERR599013,3562109398,6057000000.0,58.81%,1626519,,PRJEB1787,6.057,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000131,marine metagenome,0.22,1.6,0.22-1.6,58.81
ERR598999,8194024235,9864000000.0,83.07%,1978406,,PRJEB1787,9.865,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000678,marine metagenome,0.22,3.0,0.22-3.0,83.07
ERR594347,29980750607,36955000000.0,81.13%,1921682,,PRJEB1788,36.956,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001954,marine metagenome,0.45,0.8,0.45-0.8,81.13
ERR599173,12718727063,16962000000.0,74.98%,1621596,,PRJEB1787,16.963,WGS,RANDOM,Illumina HiSeq 2000,TARA_B000000475,marine metagenome,0.22,3.0,0.22-3.0,74.98
ERR594344,2164695596,17166000000.0,12.61%,2498379,,PRJEB1788,17.167,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000592,marine metagenome,0.1,0.22,0.1-0.22,12.61
ERR599007,18904449961,26356000000.0,71.73%,1678443,,PRJEB1787,26.357,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000902,marine metagenome,0.22,3.0,0.22-3.0,71.73
ERR599038,23807952096,30384000000.0,78.36%,1723508,,PRJEB1787,30.385,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000609,marine metagenome,0.22,3.0,0.22-3.0,78.36
ERR598953,7810998560,8988000000.0,86.90%,2100640,,PRJEB1787,8.988,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000959,marine metagenome,0.22,3.0,0.22-3.0,86.9
ERR594327,580668454,5046000000.0,11.51%,3446922,,PRJEB1788,5.046,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000033,marine metagenome,0.1,0.22,0.1-0.22,11.51
ERR598969,4623445153,6374000000.0,72.54%,1719641,,PRJEB1787,6.375,WGS,RANDOM,Illumina HiSeq 2000,TARA_A100001403,marine metagenome,0.22,1.6,0.22-1.6,72.54
ERR599299,505099434,31293000000.0,1.61%,3328716,,PRJEB4352,31.294,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000535,marine metagenome,20.0,180.0,20.0-180.0,1.61
ERR598986,26112610145,36235000000.0,72.06%,1721238,,PRJEB1787,36.236,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001559,marine metagenome,0.22,3.0,0.22-3.0,72.06
ERR598977,4266276593,7189000000.0,59.34%,1657218,,PRJEB1787,7.189,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000287,marine metagenome,0.22,1.6,0.22-1.6,59.34
ERR599154,4422879247,5888000000.0,75.12%,2181725,,PRJEB1787,5.888,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000749,marine metagenome,0.22,3.0,0.22-3.0,75.12
ERR599104,3841025874,6383000000.0,60.18%,1779357,,PRJEB1787,6.384,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000795,marine metagenome,0.22,3.0,0.22-3.0,60.18
ERR594332,26237312417,29035000000.0,90.36%,1855776,,PRJEB1788,29.036,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000991,marine metagenome,0.45,0.8,0.45-0.8,90.36
ERR599086,31610870286,40972000000.0,77.15%,1930438,,PRJEB1787,40.973,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000586,marine metagenome,0.22,3.0,0.22-3.0,77.15
ERR599108,6451116044,8314000000.0,77.59%,1670984,,PRJEB1787,8.315,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000927,marine metagenome,0.22,3.0,0.22-3.0,77.59
ERR599117,7640972700,9119000000.0,83.79%,1890385,,PRJEB1787,9.119,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000686,marine metagenome,0.22,3.0,0.22-3.0,83.79
ERR598951,4664489836,6025000000.0,77.42%,1685331,,PRJEB1787,6.025,WGS,RANDOM,Illumina HiSeq 2000,TARA_E500000178,marine metagenome,0.22,1.6,0.22-1.6,77.42
ERR598952,3266263929,4157000000.0,78.57%,1687739,,PRJEB1787,4.158,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000927,marine metagenome,0.22,3.0,0.22-3.0,78.57
