acc,bioproject,organism,bacterial_archaeal_bases,metagenome_size,read_fraction,average_bacterial_archaeal_genome_size,warning,smf,bioproject_right,Gbp,library_strategy,library_selection,model,sample_name,taxon_name,id,run_id,collection_year,collection_month,latitude,longitude,depth,temperature,host_or_not_prediction,host_or_not_recorded,host_or_not_mature,tropical,Fungi to Bacteria Ratio
SRR2844600,PRJNA298972,soil metagenome,705280344,2050000000.0,34.40%,3732630,,34.4,PRJNA298972,2.051,WGS,RANDOM,Illumina HiSeq 2000,MAL01,soil metagenome,1075,1075,2013,11,8.5,76.7,,,ecological,ecological,ecological,true,0.2267860418146353
SRR7042387,PRJNA449266,soil metagenome,9850591476,12088000000.0,81.49%,4525845,,81.49,PRJNA449266,12.089,WGS,RANDOM,Illumina HiSeq 2500,14_0903_09_20cm,soil metagenome,1080,1080,2014,9,39.74,-123.63,,,ecological,ecological,ecological,false,0.027013012858307123
SRR15421287,PRJNA753945,soil metagenome,1127699957,1589000000.0,70.97%,4473757,,70.97,PRJNA753945,1.59,WGS,RANDOM,Illumina NovaSeq 6000,ATQ_4_5-10cm,soil metagenome,1086,1086,2018,4,70.469927,-157.407467,0.075,,ecological,ecological,ecological,false,0.04864555413946654
SRR15421300,PRJNA753945,soil metagenome,1545174639,1850000000.0,83.52%,3241943,,83.52,PRJNA753945,1.851,WGS,RANDOM,Illumina NovaSeq 6000,25km_2_31-35cm,soil metagenome,1087,1087,2018,4,70.998542,-156.521316,0.33,,ecological,ecological,ecological,false,0.02346592325943884
SRR15421298,PRJNA753945,soil metagenome,1098111150,1398000000.0,78.55%,3962727,,78.55,PRJNA753945,1.398,WGS,RANDOM,Illumina NovaSeq 6000,25km_3_20-25cm,soil metagenome,1088,1088,2018,4,70.998467,-156.521424,0.225,,ecological,ecological,ecological,false,0.03247521474091831
SRR16123997,PRJNA767554,soil metagenome,13698741133,18704000000.0,73.24%,4629470,,73.24,PRJNA767554,18.705,WGS,RANDOM,Illumina NovaSeq 6000,RR451Jul_Bulk_convetional,soil metagenome,1092,1092,2018,7,38.543092,-121.874896,,,ecological,ecological,ecological,false,0.0434518926408441
SRR12030758,PRJNA638758,soil metagenome,16111604940,21739000000.0,74.11%,4884880,,74.11,PRJNA638758,21.739,WGS,RANDOM,Illumina NovaSeq 6000,HS42B,soil metagenome,1094,1094,2018,9,24.094878,121.034072,,,ecological,ecological,ecological,false,0.04154570772697458
ERR481103,PRJEB6125,soil metagenome,1137688605,1334000000.0,85.28%,3724509,,85.28,PRJEB6125,1.335,WGS,RANDOM,Illumina MiSeq,MCXb02,soil metagenome,1136,1136,2013,1,-35.10537036,139.27284046,0.55,,ecological,ecological,ecological,true,0.020527286446224712
ERR4837087,PRJEB41174,soil metagenome,5373057150,5731000000.0,93.75%,4531740,,93.75,PRJEB41174,5.732,WGS,RANDOM,NextSeq 500,G6,soil metagenome,1437,1437,2014,1,67.15655998,-50.06389101,,,ecological,ecological,ecological,false,0.007928292518723023
SRR3601981,PRJNA322576,soil metagenome,5451696356,6890000000.0,79.12%,4469116,,79.12,PRJNA322576,6.891,WGS,RANDOM,NextSeq 500,,soil metagenome,1517,1517,2016,4,-25.025508,152.379908,,,ecological,ecological,ecological,true,0.03138449465197233
ERR2603203,PRJEB24121,soil metagenome,887442497,1479000000.0,60.00%,4193963,,60.0,PRJEB24121,1.48,WGS,RANDOM,Illumina HiSeq 4000,FO176,soil metagenome,1697,1697,2015,1,59.273691,24.550779,,,ecological,ecological,ecological,false,0.07928292518723024
ERR2603094,PRJEB24121,soil metagenome,1114426558,1763000000.0,63.21%,4316638,,63.21,PRJEB24121,1.764,WGS,RANDOM,Illumina HiSeq 4000,FO61,soil metagenome,1698,1698,2015,1,58.58016,26.43521,,,ecological,ecological,ecological,false,0.06921734261125297
ERR2603041,PRJEB24121,soil metagenome,1059721675,1699000000.0,62.37%,4669406,,62.37,PRJEB24121,1.7,WGS,RANDOM,Illumina HiSeq 4000,FO8,soil metagenome,1699,1699,2015,1,58.30223,22.0958,,,ecological,ecological,ecological,false,0.07175123797006913
ERR2603302,PRJEB24121,soil metagenome,1290695729,1726000000.0,74.78%,4912445,,74.78,PRJEB24121,1.726,WGS,RANDOM,Illumina HiSeq 4000,FO281,soil metagenome,1700,1700,2015,1,57.694204,27.377655,,,ecological,ecological,ecological,false,0.040107957473026465
ERR2603209,PRJEB24121,soil metagenome,774185906,1198000000.0,64.62%,4200911,,64.62,PRJEB24121,1.199,WGS,RANDOM,Illumina HiSeq 4000,FO182,soil metagenome,1702,1702,2015,1,59.376641,24.039891,,,ecological,ecological,ecological,false,0.06511211451077542
ERR2239870,PRJEB24343,soil metagenome,635913170,942000000.0,67.51%,4221970,,67.51,PRJEB24343,0.943,WGS,RANDOM,Illumina HiSeq 2500,LEP-SZ-8-T,soil metagenome,1762,1762,2012,1,-37.8136,144.9631,,,ecological,ecological,ecological,true,0.05723379290474987
ERR2239858,PRJEB24343,soil metagenome,592401495,866000000.0,68.41%,4192806,,68.41,PRJEB24343,0.867,WGS,RANDOM,Illumina HiSeq 2500,GAH-SZ-9-T,soil metagenome,1763,1763,2012,1,-37.8136,144.9631,,,ecological,ecological,ecological,true,0.05491626092671986
SRR10028485,PRJNA562410,soil metagenome,4065005658,6674000000.0,60.91%,4955934,,60.91,PRJNA562410,6.675,WGS,RANDOM,Illumina HiSeq 4000,SoilSampleBF4,soil metagenome,1944,1944,2012,11,-1.94187532,102.5807841,,,ecological,ecological,ecological,true,0.076321692962621
SRR11051958,PRJNA605576,soil metagenome,4655168409,6416000000.0,72.56%,4728796,,72.56,PRJNA605576,6.417,WGS,RANDOM,Illumina HiSeq 2500,TZ_20,soil metagenome,1963,1963,2017,1,28.68,121.43,,,ecological,ecological,ecological,false,0.04497361081458649
SRR15603312,PRJNA757556,soil metagenome,695387868,7638000000.0,9.10%,1042061,,9.1,PRJNA757556,7.639,WGS,RANDOM,Illumina NovaSeq 6000,E5000,soil metagenome,1993,1993,2020,12,31.29,121.5,,,ecological,ecological,ecological,false,1.1879370164042684
SRR5823611,PRJNA393632,soil metagenome,9221302570,14571000000.0,63.29%,4102989,,63.29,PRJNA393632,14.571,WGS,RANDOM,Illumina HiSeq 2000,C8s,soil metagenome,2004,2004,2010,12,45.19,8.25,,,ecological,ecological,ecological,false,0.06897952718335965
SRR13435500,PRJNA692092,soil metagenome,745238586,1289000000.0,57.82%,3856145,,57.82,PRJNA692092,1.289,WGS,RANDOM,Illumina MiSeq,soil B metagenome,soil metagenome,2022,2022,2016,10,28.54111111,121.37083333,,,ecological,ecological,ecological,false,0.0867559784952621
SRR15377946,PRJNA714922,soil metagenome,10924943063,55234000000.0,19.78%,5302598,,19.78,PRJNA714922,55.234,WGS,RANDOM,Illumina NovaSeq 6000,Novaseq_root_tip_reads_Stand_50_Tree_5,soil metagenome,2041,2041,2018,8,44.2566,-86.083683,,,ecological,ecological,ecological,false,0.4823111419504254
ERR753920,PRJEB8420,soil metagenome,5922651474,9519000000.0,62.22%,4386499,,62.22,PRJEB8420,9.52,WGS,RANDOM,Illumina HiSeq 2000,OC-OM1C0-O2,soil metagenome,2066,2066,2011,6,50.88,-120.35,0.0,,ecological,ecological,ecological,false,0.07221091884217835
ERR5526851,PRJEB43773,soil metagenome,388069038,739000000.0,52.51%,4006081,WARNING: The most abundant taxons not assigned to the species level account for a large fraction of the total estimated read fraction. This may mean that the read_fraction estimate is inaccurate.,52.51,PRJEB43773,0.74,WGS,RANDOM,Illumina MiSeq,E5,soil metagenome,2067,2067,2020,8,65.225,-19.71194444,,,ecological,ecological,ecological,false,0.10755511665801458
ERR1877823,PRJEB18701,soil metagenome,865919847,2008000000.0,43.12%,5007922,,43.12,PRJEB18701,2.008,WGS,RANDOM,Illumina HiSeq 2500,G2657,soil metagenome,2144,2144,,,-9.44475,147.34958,,,ecological,ecological,ecological,true,0.15687428518029878
ERR1877922,PRJEB18701,soil metagenome,337264393,554000000.0,60.88%,4319472,,60.88,PRJEB18701,0.554,WGS,RANDOM,Illumina HiSeq 2500,G2847,soil metagenome,2146,2146,,,58.92812,23.86384,,,ecological,ecological,ecological,false,0.07641790489465619
ERR1877673,PRJEB18701,soil metagenome,372167357,543000000.0,68.54%,4663751,,68.54,PRJEB18701,0.543,WGS,RANDOM,Illumina HiSeq 2500,S075,soil metagenome,2148,2148,,,-41.0832,-71.5514,,,ecological,ecological,ecological,true,0.05458653690670257
SRR10011741,PRJNA554847,soil metagenome,377104841,1549000000.0,24.35%,4604455,,24.35,PRJNA554847,1.55,WGS,RANDOM,NextSeq 500,P08_0202_SM,soil metagenome,2397,2397,2017,1,9.17,-79.75,,,ecological,ecological,ecological,true,0.36947145526164055
SRR10011733,PRJNA554847,soil metagenome,375430836,1465000000.0,25.63%,4459858,,25.63,PRJNA554847,1.465,WGS,RANDOM,NextSeq 500,P11_0404_SM,soil metagenome,2400,2400,2017,1,9.14,-79.88,,,ecological,ecological,ecological,true,0.34508024655721686
SRR12696339,PRJNA665014,soil metagenome,1801750961,2761000000.0,65.26%,4749574,,65.26,PRJNA665014,2.762,WGS,RANDOM,Illumina HiScanSQ,SUG-W_2,soil metagenome,3288,3288,2013,1,-21.708519,-47.582469,,,ecological,ecological,ecological,true,0.06330728212544538
SRR908275,PRJNA208116,soil metagenome,3067443967,6495000000.0,47.23%,4950924,,47.23,PRJNA208116,6.495,WGS,RANDOM,Illumina HiSeq 2000,wheat rizosphere,soil metagenome,3290,3290,2012,5,31.99,34.82,0.05,,host,ecological,ecological,false,0.13287401954679673
SRR4249921,PRJNA343121,soil metagenome,3535437796,5243000000.0,67.43%,4436099,,67.43,PRJNA343121,5.243,WGS,RANDOM,Illumina HiSeq 2000,mg_HP(b),soil metagenome,3685,3685,2014,12,45.68,-72.0,,,ecological,ecological,ecological,false,0.05744278970817337
SRR3972141,PRJNA330155,soil metagenome,32662751553,46068000000.0,70.90%,3030353,,70.9,PRJNA330155,46.068,WGS,RANDOM,Illumina HiSeq 2000,CZCX,soil metagenome,3699,3699,2011,7,39.53,-107.78,,,ecological,ecological,ecological,false,0.04881099695941605
SRR3972149,PRJNA330109,soil metagenome,32467157117,45561000000.0,71.26%,2709349,,71.26,PRJNA330109,45.562,WGS,RANDOM,Illumina HiSeq 2000,CZCU,soil metagenome,3700,3700,2011,7,39.53,-107.78,,,ecological,ecological,ecological,false,0.04796361078896288
SRR3982751,PRJNA330143,soil metagenome,17953967556,25471000000.0,70.49%,4474944,,70.49,PRJNA330143,25.472,WGS,RANDOM,Illumina HiSeq 2000,HOXH,soil metagenome,3703,3703,2011,6,39.23550963,-121.2836963,,,ecological,ecological,ecological,false,0.04978661772468076
SRR6202040,PRJNA366724,soil metagenome,8802946573,14882000000.0,59.15%,4930849,,59.15,PRJNA366724,14.883,WGS,RANDOM,Illumina HiSeq 2000,NOOB,soil metagenome,3718,3718,2011,7,46.42,-83.37,,,ecological,ecological,ecological,false,0.08213121286301829
SRR5216684,PRJNA364549,soil metagenome,20457852703,29624000000.0,69.06%,4916642,,69.06,PRJNA364549,29.625,WGS,RANDOM,Illumina HiSeq 2500,BHHXY,soil metagenome,3721,3721,2015,4,39.7291,-123.6419,,,ecological,ecological,ecological,false,0.05328005441557132
SRR6958720,PRJNA444401,soil metagenome,2950916316,3038000000.0,97.13%,4317108,,97.13,PRJNA444401,3.038,WGS,RANDOM,Illumina HiSeq 2500,BNOBT,soil metagenome,3722,3722,2016,5,37.83,-122.29,,,ecological,ecological,ecological,false,0.003513981189447409
SRR6266511,PRJNA405450,soil metagenome,15887019627,28098000000.0,56.54%,4161738,,56.54,PRJNA405450,28.099,WGS,RANDOM,Illumina HiSeq 2500,BGWYS,soil metagenome,3725,3725,2016,6,39.5673,-123.4758,,,ecological,ecological,ecological,false,0.09141234334905445
SRR11673319,PRJNA621435,soil metagenome,10450142056,15849000000.0,65.94%,4239065,,65.94,PRJNA621435,15.849,WGS,RANDOM,Illumina NovaSeq 6000,GNHBO,soil metagenome,3734,3734,2018,2,57.1863,-2.2145,,,ecological,ecological,ecological,false,0.06142803530202598
SRR8874768,PRJNA518695,soil metagenome,37141530061,47356000000.0,78.43%,4568336,,78.43,PRJNA518695,47.356,WGS,RANDOM,Illumina NovaSeq 6000,CXZNX,soil metagenome,3741,3741,2018,3,39.6475,-79.9369,,,ecological,ecological,ecological,false,0.03270686018657187
SRR8552898,PRJNA518562,soil metagenome,21927775854,28342000000.0,77.37%,4236588,,77.37,PRJNA518562,28.343,WGS,RANDOM,Illumina NovaSeq 6000,CTZCB,soil metagenome,3743,3743,2017,5,38.9206,-106.9489,,,ecological,ecological,ecological,false,0.034784269038135314
SRR8552945,PRJNA518579,soil metagenome,17786884763,21325000000.0,83.41%,4332199,,83.41,PRJNA518579,21.326,WGS,RANDOM,Illumina NovaSeq 6000,CTZGG,soil metagenome,3755,3755,2017,6,38.9206,-106.9489,,,ecological,ecological,ecological,false,0.02365370571015735
SRR6201925,PRJNA366665,soil metagenome,3003545526,4895000000.0,61.36%,4511589,,61.36,PRJNA366665,4.896,WGS,RANDOM,Illumina HiSeq 2000,HOYO,soil metagenome,3756,3756,2011,9,39.070856,-96.582821,,,ecological,ecological,ecological,false,0.07488980351779438
SRR5207571,PRJNA367032,soil metagenome,2560739580,3726000000.0,68.73%,4315514,,68.73,PRJNA367032,3.726,WGS,RANDOM,Illumina HiSeq 2500,ABGCA,soil metagenome,3757,3757,2014,8,45.54,-73.72,,,ecological,ecological,ecological,false,0.054106876268107576
SRR11613413,PRJNA620819,soil metagenome,38779605470,48883000000.0,79.33%,4215271,,79.33,PRJNA620819,48.884,WGS,RANDOM,Illumina NovaSeq 6000,GOHHG,soil metagenome,3759,3759,2017,7,26.6591,-80.6279,,,ecological,ecological,ecological,false,0.030986601480273206
SRR12659395,PRJNA654930,soil metagenome,35160580717,49834000000.0,70.56%,5395541,,70.56,PRJNA654930,49.835,WGS,RANDOM,Illumina NovaSeq 6000,GPBAA,soil metagenome,3760,3760,2017,10,42.5315,-72.1899,,,ecological,ecological,ecological,false,0.04961924569540939
SRR7093792,PRJNA441472,soil metagenome,35886409262,51111000000.0,70.21%,5015550,,70.21,PRJNA441472,51.112,WGS,RANDOM,Illumina HiSeq 2500,BYYXZ,soil metagenome,3767,3767,2017,5,42.481016,-72.178343,,,ecological,ecological,ecological,false,0.050459443270066705
SRR8554900,PRJNA520979,soil metagenome,141708833130,163541000000.0,86.65%,4185966,,86.65,PRJNA520979,163.541,WGS,RANDOM,Illumina HiSeq 2500,H3HLMDMXX,soil metagenome,3878,3878,2017,6,30.68,91.1,,,ecological,ecological,ecological,false,0.018322453281872875
SRR9656207,PRJNA553262,soil metagenome,6204249047,7888000000.0,78.65%,3957246,,78.65,PRJNA553262,7.889,WGS,RANDOM,Illumina HiSeq X Ten,YD-MG-C,soil metagenome,3985,3985,2017,12,37.816,119.111,,,ecological,ecological,ecological,false,0.03228271683561407
SRR8936453,PRJNA528368,soil metagenome,9482410979,12743000000.0,74.41%,4937161,,74.41,PRJNA528368,12.743,WGS,RANDOM,HiSeq X Ten,Metagenome of Mikania micrantha_lib13,soil metagenome,4013,4013,2018,9,23.14,113.34,,,ecological,ecological,ecological,true,0.04089873784856649
SRR14555695,PRJNA730191,soil metagenome,10077208442,12454000000.0,80.92%,4428472,,80.92,PRJNA730191,12.454,WGS,RANDOM,Illumina HiSeq 2000,XZH4,soil metagenome,4027,4027,2019,7,45.683333,126.633333,,,ecological,ecological,ecological,false,0.028040995042740095
SRR12170519,PRJNA644680,soil metagenome,17114967921,18857000000.0,90.76%,4354754,,90.76,PRJNA644680,18.857,WGS,RANDOM,Illumina NovaSeq 6000,LWLN_1,soil metagenome,4103,4103,2019,4,29.64,-82.34,,,ecological,ecological,ecological,false,0.012107330796551453
SRR12377060,PRJNA650496,soil metagenome,4475852533,5457000000.0,82.02%,4454338,,82.02,PRJNA650496,5.458,WGS,RANDOM,Illumina HiSeq 4000,Tinkmeta9,soil metagenome,4215,4215,2016,8,46.70875,10.38853,,,ecological,ecological,ecological,false,0.026069988933182152
SRR13766247,PRJNA694468,soil metagenome,4005872168,5662000000.0,70.75%,4441248,,70.75,PRJNA694468,5.662,WGS,RANDOM,Illumina HiSeq 2500,SM2_kneaddata.trimmed,soil metagenome,4237,4237,2018,2,26.4984,107.421,0.1,,ecological,ecological,ecological,false,0.04916661968324701
SRR2844616,PRJNA298972,soil metagenome,668610237,2068000000.0,32.33%,4012063,,32.33,PRJNA298972,2.068,WGS,RANDOM,Illumina HiSeq 2000,PGD01,soil metagenome,4240,4240,2014,2,8.5,76.7,,,ecological,ecological,ecological,true,0.2489209193049739
SRR7042358,PRJNA449266,soil metagenome,18587806466,23263000000.0,79.90%,4535005,,79.9,PRJNA449266,23.264,WGS,RANDOM,Illumina HiSeq 2500,14_0903_12_40cm,soil metagenome,4241,4241,2014,9,39.74,-123.63,,,ecological,ecological,ecological,false,0.029917148866019903
SRR7042343,PRJNA449266,soil metagenome,15611139211,19815000000.0,78.78%,4250323,,78.78,PRJNA449266,19.816,WGS,RANDOM,Illumina HiSeq 2500,14_0927_05_40cm,soil metagenome,4242,4242,2014,9,39.74,-123.63,,,ecological,ecological,ecological,false,0.03203320016132949
SRR7042386,PRJNA449266,soil metagenome,9085800135,11148000000.0,81.50%,4369980,,81.5,PRJNA449266,11.148,WGS,RANDOM,Illumina HiSeq 2500,14_0903_09_30cm,soil metagenome,4243,4243,2014,9,39.74,-123.63,,,ecological,ecological,ecological,false,0.026995106428780852
SRR12418382,PRJNA656125,soil metagenome,5572255271,7402000000.0,75.28%,4553575,,75.28,PRJNA656125,7.402,WGS,RANDOM,NextSeq 500,NS247-13,soil metagenome,4251,4251,2018,12,-37.908647,145.139591,,,ecological,ecological,ecological,true,0.03905168525428396
SRR10586135,PRJNA593573,soil metagenome,2547704811,3476000000.0,73.29%,4395702,,73.29,PRJNA593573,3.477,WGS,RANDOM,Illumina HiSeq 2500,BYBSR3,soil metagenome,4252,4252,2018,10,1.42,103.7,,,ecological,ecological,ecological,true,0.04334111608168068
SRR13614402,PRJNA697905,soil metagenome,11700136427,14934000000.0,78.35%,4396085,,78.35,PRJNA697905,14.934,WGS,RANDOM,HiSeq X Ten,CK7,soil metagenome,4253,4253,2019,8,37.3,116.65,,,ecological,ecological,ecological,false,0.0328616846899209
ERR4392721,PRJEB39497,soil metagenome,9906257667,12938000000.0,76.57%,4810054,,76.57,PRJEB39497,12.939,WGS,RANDOM,Illumina NovaSeq 6000,B2018_H2_10cm,soil metagenome,4628,4628,2018,1,38.886306,-120.647694,,,ecological,ecological,ecological,false,0.036390210339626576
ERR2603091,PRJEB24121,soil metagenome,956061789,1509000000.0,63.36%,4232422,,63.36,PRJEB24121,1.509,WGS,RANDOM,Illumina HiSeq 4000,FO58,soil metagenome,4946,4946,2015,1,58.58855,23.57538,,,ecological,ecological,ecological,false,0.06877193131771109
ERR2603107,PRJEB24121,soil metagenome,785189536,1247000000.0,62.97%,4891537,,62.97,PRJEB24121,1.248,WGS,RANDOM,Illumina HiSeq 4000,FO74,soil metagenome,4947,4947,2015,1,59.18587,23.83031,,,ecological,ecological,ecological,false,0.06993441447553919
ERR2603066,PRJEB24121,soil metagenome,863047374,1429000000.0,60.40%,4396573,,60.4,PRJEB24121,1.429,WGS,RANDOM,Illumina HiSeq 4000,FO33,soil metagenome,4948,4948,2015,1,58.5312,23.1117,,,ecological,ecological,ecological,false,0.07797029397552112
ERR2603212,PRJEB24121,soil metagenome,959417553,1478000000.0,64.91%,4637556,,64.91,PRJEB24121,1.478,WGS,RANDOM,Illumina HiSeq 4000,FO185,soil metagenome,4949,4949,2015,1,58.787946,23.532754,,,ecological,ecological,ecological,false,0.06428989011292348
ERR2603078,PRJEB24121,soil metagenome,1032968741,1532000000.0,67.43%,4452068,,67.43,PRJEB24121,1.533,WGS,RANDOM,Illumina HiSeq 4000,FO45,soil metagenome,4950,4950,2015,1,59.51083,24.81622,,,ecological,ecological,ecological,false,0.05744278970817337
ERR2041961,PRJEB21930,soil metagenome,3159118041,4492000000.0,70.33%,4478604,,70.33,PRJEB21930,4.493,WGS,RANDOM,NextSeq 500,N1-2,soil metagenome,4989,4989,2013,10,4.991,52.454,,,ecological,ecological,ecological,true,0.05017043346306954
