Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCF_001640025.1	ASM164002v2	Sugiyamaella lignohabitans		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	15938258	Complete Genome	2016-05-06	
GCA_029449355.1	ASM2944935v1	Emydomyces testavorans		16-2883					Annotation submitted by University of Illinois Urbana-Champaign	31798767	Complete Genome	2023-03-28	
GCA_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus		CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	11416521	Complete Genome	2023-01-20	
GCF_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus		CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	11416521	Complete Genome	2023-01-20	
GCA_001548555.1	ASM154855v1	Eremothecium sinecaudum		ATCC 58844					Annotation submitted by Duke University	8922523	Complete Genome	2016-02-04	
GCF_001548555.1	ASM154855v1	Eremothecium sinecaudum		ATCC 58844					Annotation submitted by Duke University	8922523	Complete Genome	2016-02-04	
GCA_014133895.1	ASM1413389v1	Torulaspora globosa		CBS764					Annotation submitted by University College Dublin	9281121	Complete Genome	2020-08-10	
GCF_014133895.1	ASM1413389v1	Torulaspora globosa		CBS764					Annotation submitted by University College Dublin	9281121	Complete Genome	2020-08-10	
GCA_021950295.1	ASM2195029v1	Epichloe scottii		TT-2021a						37248187	Complete Genome	2022-02-04	
GCA_011074865.2	ASM1107486v2	Brettanomyces nanus		CBS 1945					Annotation submitted by Australian Wine Research Institute	10117252	Complete Genome	2020-12-03	
GCF_011074865.1	ASM1107486v2	Brettanomyces nanus		CBS 1945					Annotation submitted by Australian Wine Research Institute	10117252	Complete Genome	2020-12-03	
GCA_026585945.1	CBS14366_v1	[Candida] vulturna		CBS 14366						12864424	Complete Genome	2022-12-02	WTSQ01
GCA_020342235.1	ASM2034223v1	Saccharomycopsis phalluae		GUCC 202006						14148124	Complete Genome	2021-10-07	
GCA_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47		Fo47					Annotation submitted by Xi'an Jiaotong University	50358849	Complete Genome	2020-05-13	
GCF_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47		Fo47					Annotation submitted by Xi'an Jiaotong University	50358849	Complete Genome	2020-05-13	
GCA_000143535.4	ASM14353v4	Botrytis cinerea B05.10		B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	42630066	Complete Genome	2015-02-05	
GCF_000143535.2	ASM14353v4	Botrytis cinerea B05.10		B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	42630066	Complete Genome	2015-02-05	
GCA_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042		DMKU3-1042					Annotation submitted by Yamaguchi University	10920159	Complete Genome	2014-01-14	
GCF_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042		DMKU3-1042					Annotation submitted by Yamaguchi University	10920159	Complete Genome	2014-01-14	
GCF_000002515.2	ASM251v1	Kluyveromyces lactis		NRRL Y-1140					Annotation submitted by Genolevures Consortium	10689156	Complete Genome	2004-07-02	
GCA_009556855.1	ASM955685v1	Talaromyces marneffei					11CN-20-091		Annotation submitted by Broad Institute	28198338	Complete Genome	2019-11-05	
GCF_009556855.1	ASM955685v1	Talaromyces marneffei					11CN-20-091		Annotation submitted by Broad Institute	28198338	Complete Genome	2019-11-05	
GCA_947243795.1	Suva-ZP964	Saccharomyces uvarum		ZP964					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	11715280	Complete Genome	2022-11-01	
GCA_000687475.2	ASM68747v2	Ustilaginoidea virens		UV-8b					Annotation submitted by China Agricultural University	37060086	Complete Genome	2021-05-20	
GCF_000687475.1	ASM68747v2	Ustilaginoidea virens		UV-8b					Annotation submitted by China Agricultural University	37060086	Complete Genome	2021-05-20	
GCA_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis		IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	37256495	Complete Genome	2021-01-30	
GCF_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis		IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	37256495	Complete Genome	2021-01-30	
GCA_001571465.2	ASM157146v2	Talaromyces pinophilus		1-95						36480443	Complete Genome	2017-07-18	
GCA_026367775.1	ASM2636777v1	Exserohilum rostratum		LWI						34053972	Complete Genome	2022-11-24	
GCA_026958235.1	ASM2695823v1	Clonostachys rosea		CR-7						58715541	Complete Genome	2022-12-16	
GCA_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	38744216	Complete Genome	2011-09-16	
GCF_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	38744216	Complete Genome	2011-09-16	
GCA_011074885.2	ASM1107488v2	Brettanomyces bruxellensis		UCD 2041					Annotation submitted by Australian Wine Research Institute	13150648	Complete Genome	2020-10-30	
GCF_011074885.1	ASM1107488v2	Brettanomyces bruxellensis		UCD 2041					Annotation submitted by Australian Wine Research Institute	13150648	Complete Genome	2020-10-30	
GCA_019431265.1	ASM1943126v1	Saccharomyces bayanus		FM677						12163509	Complete Genome	2021-08-01	
GCA_001936155.1	KPH12	Saccharomycopsis fibuligera		KPH12						19567216	Complete Genome	2017-01-05	
GCA_014334815.1	ASM1433481v1	Pyrenophora teres f. maculata					P-A14			42027478	Complete Genome	2020-08-31	
GCA_025948275.1	ASM2594827v1	Fusarium avenaceum		WV21P1A						42041114	Complete Genome	2022-11-01	
GCA_002952155.1	ASM295215v1	Alternaria solani					NL03003			32779142	Complete Genome	2018-02-14	
GCA_020912385.1	ASM2091238v1	Neofusicoccum parvum		DUCC19944						43998971	Complete Genome	2021-11-22	
GCA_022641835.1	ASM2264183v1	Cyberlindnera fabianii				Missouri	JOY008			12292641	Complete Genome	2022-03-21	
GCA_004299825.1	ASM429982v1	Cercospora sojina		RACE15						40115976	Complete Genome	2019-02-26	
GCA_003814445.1	ASM381444v1	Epichloe festucae Fl1		Fl1					Annotation submitted by Massey University	34970730	Complete Genome	2018-11-23	
GCA_025258505.1	ASM2525850v1	Fusarium asiaticum		KCTC 16664						38303553	Complete Genome	2022-09-19	
GCA_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri		M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	29697343	Complete Genome	2021-01-30	
GCF_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri		M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	29697343	Complete Genome	2021-01-30	
GCA_004011695.2	ASM401169v2	Ascochyta rabiei					Me14		Annotation submitted by Curtin University	40846718	Complete Genome	2022-08-25	
GCF_004011695.2	ASM401169v2	Ascochyta rabiei					Me14		Annotation submitted by Curtin University	40846718	Complete Genome	2022-08-25	
GCA_008274985.1	ASM827498v1	Aspergillus sojae		SMF134						40106795	Complete Genome	2019-09-05	
GCA_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895		ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	9095748	Complete Genome	2010-10-18	
GCF_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895		ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	9095748	Complete Genome	2010-10-18	
GCA_020809705.1	ASM2080970v1	Calonectria ilicicola		GDYJ169						69943776	Complete Genome	2021-11-09	
GCA_034447905.1	ASM3444790v1	Colletotrichum destructivum		CBS 520.97					Annotation submitted by INRAE	51750812	Complete Genome	2023-12-18	
GCF_034447905.1	ASM3444790v1	Colletotrichum destructivum		CBS 520.97					Annotation submitted by INRAE	51750812	Complete Genome	2023-12-18	
GCA_026184415.1	ASM2618441v1	Trichothecium roseum		YXFP-22015					Annotation submitted by National Biopesticide Engineering Technology Research Centre, Hubei Academy of Agricultural Sciences	33510174	Complete Genome	2022-11-21	JAOAPZ01
GCA_003401635.1	MR1_a14_ref	Metschnikowia reukaufii		MR1						15522805	Complete Genome	2018-08-20	MDYR01
GCA_033807795.1	ASM3380779v1	Kazachstania servazzii		CDLB-YE05						13468544	Complete Genome	2023-11-20	
GCA_020509005.2	Cfulv_R5_v5	Fulvia fulva		Race5_Kim					Annotation submitted by University of California	67169167	Complete Genome	2022-01-24	
GCF_020509005.1	Cfulv_R5_v5	Fulvia fulva		Race5_Kim					Annotation submitted by University of California	67169167	Complete Genome	2022-01-24	
GCA_024072835.1	ASM2407283v1	Epichloe amarillans		NFE708						38115118	Complete Genome	2022-06-30	
GCA_023278565.1	ASM2327856v1	Colletotrichum lupini		IMI 504893					Annotation submitted by University of Western Brittany	63407421	Complete Genome	2022-05-09	
GCF_023278565.1	ASM2327856v1	Colletotrichum lupini		IMI 504893					Annotation submitted by University of Western Brittany	63407421	Complete Genome	2022-05-09	
GCA_023658445.1	ASM2365844v1	Epichloe bromicola		Nfe1						46126030	Complete Genome	2022-06-07	
GCA_023101225.1	ASM2310122v1	Fusarium solani-melongenae		CRI 24-3					Annotation submitted by Guangdong Academy of Agricultural Sciences	49477711	Complete Genome	2022-04-25	
GCA_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis		MK2					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	34318862	Complete Genome	2021-01-30	
GCF_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis		MK2					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	34318862	Complete Genome	2021-01-30	
GCA_026873545.1	ASM2687354v1	Fusarium falciforme		Fu3.1					Annotation submitted by Academia Sinica	53563088	Complete Genome	2022-12-13	
GCF_026873545.1	ASM2687354v1	Fusarium falciforme		Fu3.1					Annotation submitted by Academia Sinica	53563088	Complete Genome	2022-12-13	
GCA_030168465.1	ASM3016846v1	Pichia terricola		0621						12505616	Complete Genome	2023-06-05	
GCA_004014935.1	ASM401493v1	Saccharomycopsis malanga		KCN26						16778506	Complete Genome	2019-01-14	
GCA_022605165.1	ASM2260516v1	Purpureocillium takamizusanense		PT3					Annotation submitted by Tokyo University of Science	35574015	Complete Genome	2022-03-17	
GCF_022605165.1	ASM2260516v1	Purpureocillium takamizusanense		PT3					Annotation submitted by Tokyo University of Science	35574015	Complete Genome	2022-03-17	
GCA_032594075.1	ASM3259407v1	Botrytis fabae					G12			44982877	Complete Genome	2023-10-12	
GCA_004217705.1	ASM421770v1	Metschnikowia aff. pulcherrima		APC 1.2					Annotation submitted by Agroscope	15801215	Complete Genome	2019-02-20	
GCA_007735645.1	ASM773564v1	Venturia effusa		albino					Annotation submitted by Massey University	45212240	Complete Genome	2019-07-31	
GCA_016767195.1	ASM1676719v1	Stagonosporopsis rhizophila		XDPOP-RS-16W						33026169	Complete Genome	2021-01-28	
GCA_036287555.1	ASM3628755v1	Hanseniaspora guilliermondii		CBS:18551						9147467	Complete Genome	2024-01-29	
GCA_001984395.2	ASM198439v2	Zygosaccharomyces parabailii		ATCC 60483					Annotation submitted by Wolfe Lab	20834458	Complete Genome	2017-03-16	
GCA_016952355.1	ASM1695235v1	Fusarium culmorum		Class2-1B					Annotation submitted by Chinese Academy of Forestry	37519305	Complete Genome	2020-11-16	
GCA_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126		NRRL 8126					Annotation submitted by DOE Joint Genome Institute	36912256	Complete Genome	2011-09-16	
GCF_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126		NRRL 8126					Annotation submitted by DOE Joint Genome Institute	36912256	Complete Genome	2011-09-16	
GCA_023658475.1	ASM2365847v1	Epichloe elymi		Nfe728						34119850	Complete Genome	2022-06-07	
GCA_030389615.1	ASM3038961v1	Epichloe typhina subsp. poae		Nfe76						38251297	Complete Genome	2023-07-03	
GCA_032355295.1	ASM3235529v1	Fusarium meridionale		JX18-4						37008135	Complete Genome	2023-10-04	
GCA_019565615.1	ASM1956561v1	Trichoderma simmonsii		GH-Sj1					Annotation submitted by National Marine Biodiversity Institute of Korea	40078385	Complete Genome	2021-08-11	
GCA_013368755.1	ASM1336875v1	Talaromyces rugulosus		W13939					Annotation submitted by Xi'an Jiaotong University	35758560	Complete Genome	2020-06-23	
GCF_013368755.1	ASM1336875v1	Talaromyces rugulosus		W13939					Annotation submitted by Xi'an Jiaotong University	35758560	Complete Genome	2020-06-23	
GCA_023920165.1	ASM2392016v1	Curvularia clavata		yc1106					Annotation submitted by Guizhou Academy of Tobacco Science	32360171	Complete Genome	2022-06-27	
GCA_001592805.2	ASM159280v2	Peltaster fructicola		LNHT1506					Annotation submitted by Northwest A&F University	18987130	Complete Genome	2020-04-14	
GCA_004299765.1	ASM429976v1	Talaromyces funiculosus		X33						28488493	Complete Genome	2019-02-26	
GCA_013402915.1	ASM1340291v1	Zygotorulaspora mrakii		NRRL Y-6702					Annotation submitted by University College Dublin	10412516	Complete Genome	2020-07-12	
GCF_013402915.1	ASM1340291v1	Zygotorulaspora mrakii		NRRL Y-6702					Annotation submitted by University College Dublin	10412516	Complete Genome	2020-07-12	
GCA_017301755.1	ASM1730175v1	Pneumocystis wakefieldiae					2A		Annotation submitted by National Institutes Of Health	7303369	Complete Genome	2021-03-08	
GCA_023650705.1	ASM2365070v1	Epichloe brachyelytri		E1124						44635537	Complete Genome	2022-06-06	
GCA_023658535.1	ASM2365853v1	Epichloe glyceriae		E2772						42971046	Complete Genome	2022-06-07	
GCA_023658505.1	ASM2365850v1	Epichloe gansuensis		e7080						39488938	Complete Genome	2022-06-07	
GCA_024584535.1	ASM2458453v1	Colletotrichum gigasporum		JS-0367						86997423	Complete Genome	2022-08-08	
GCA_029489945.1	ASM2948994v1	Nigrospora osmanthi		Z1						45903216	Complete Genome	2023-03-30	
GCA_020045945.2	ASM2004594v2	Trichoderma semiorbis		FJ059					Annotation submitted by Hainan University	42023549	Complete Genome	2021-09-24	JAIMJC01
GCA_029635245.1	ASM2963524v1	Nannizziopsis arthrosporioides		CBS 118890						24221575	Complete Genome	2023-04-10	
GCA_023650635.1	ASM2365063v1	Epichloe baconii		E357						39194522	Complete Genome	2022-06-06	
GCA_015678955.1	ASM1567895v1	Chrysoporthe puriensis					CMW54409			44539370	Complete Genome	2020-11-24	
GCA_917563905.1	NneoKNNDK_001_PacBio_v1	Neonectria neomacrospora					KNNDK1			37119747	Complete Genome	2021-10-15	
GCA_017354895.1	ASM1735489v1	Podospora comata		Wa139-						34474293	Complete Genome	2021-03-15	
GCA_035985395.1	ASM3598539v1	Penicillium coffeae					ANU01			30909372	Complete Genome	2024-01-23	
GCA_029678045.1	ASM2967804v1	Magnusiomyces sp. LA-1		LA-1						19829165	Complete Genome	2023-04-11	
GCA_016413765.1	ASM1641376v1	Aspergillus felis		FM324						33030366	Complete Genome	2020-12-28	
GCA_032882995.1	ASM3288299v1	Schizosaccharomyces versatilis		CBS 103						15482186	Complete Genome	2023-09-01	
GCA_022965775.1	ASM2296577v1	Cercospora sp. J1 LZ-2022		J1 LZ-2022						33143880	Complete Genome	2022-04-13	
GCA_021117315.1	ASM2111731v1	Immersiporthe knoxdaviesiana					CMW 37318			38801209	Complete Genome	2021-12-08	
GCA_946409495.1	Wolfe_Bari_UCD613	Blastobotrys aristatus		UCD613						13192792	Complete Genome	2022-08-27	
GCA_003955835.1	ASM395583v1	Exophiala lecanii-corni		CBS 102400						34391799	Complete Genome	2018-12-19	
GCA_024114885.1	ASM2411488v1	Septoria linicola		SE15195					Annotation submitted by INRAE	39552501	Complete Genome	2022-07-01	
GCA_003856775.1	ASM385677v1	Hyphopichia pseudoburtonii					makgeolli			15547333	Complete Genome	2018-12-03	
GCA_035610405.1	ASM3561040v1	[Candida] saopauloensis		19XY460					Annotation submitted by Peking Union Medical College Hospital	12068158	Complete Genome	2024-01-12	
GCF_035610405.1	ASM3561040v1	[Candida] saopauloensis		19XY460					Annotation submitted by Peking Union Medical College Hospital	12068158	Complete Genome	2024-01-12	
GCA_024752435.1	ASM2475243v1	Allantophomopsis cytisporea		ATCC 66955						34816014	Complete Genome	2022-08-28	
GCA_024752465.1	ASM2475246v1	Allantophomopsis lycopodina		ATCC 66958						33865253	Complete Genome	2022-08-28	
GCA_033807595.1	ASM3380759v1	Acrodontium crateriforme					169a		Annotation submitted by Academia Sinica	23050344	Complete Genome	2023-11-20	
GCA_032598715.1	ASM3259871v1	Debaryomycetaceae sp. JAC-2022a		SDSM-11251829						11144167	Complete Genome	2023-10-12	
GCA_000412225.2	ASM41222v2	[Ashbya] aceris (nom. inval.)							Annotation submitted by Duke University, Molecular Genetics and Microbiology	8867527	Complete Genome	2014-06-05	
GCA_030370665.1	ASM3037066v1	Hanseniaspora meyeri					APC 12.1			8750633	Complete Genome	2023-06-28	
GCA_031851675.1	ASM3185167v1	[Candida] zeylanoides					UCD849			10675844	Complete Genome	2023-09-24	
GCA_946403475.1	Wolfe_Tque_UCD657	Torulaspora quercuum		UCD657						10330379	Complete Genome	2022-08-27	
GCA_013694445.1	ASM1369444v1	Torulaspora sp. CBS 2947		CBS2947					Annotation submitted by University College Dublin	9264691	Complete Genome	2020-07-26	
GCA_900290405.1	SacJureiUoM1	Saccharomyces jurei								11833026	Complete Genome	2018-08-20	
GCF_000002545.3	ASM254v2	Nakaseomyces glabratus		CBS 138					Annotation submitted by Genolevures Consortium	12318245	Chromosome	2008-08-12	
GCA_000006445.2	ASM644v2	Debaryomyces hansenii CBS767		CBS767					Annotation submitted by Genolevures Consortium	12152486	Chromosome	2008-09-16	
GCF_000006445.2	ASM644v2	Debaryomyces hansenii CBS767		CBS767					Annotation submitted by Genolevures Consortium	12152486	Chromosome	2008-09-16	
GCA_000237345.1	ASM23734v1	Naumovozyma castellii CBS 4309		type strain:CBS 4309					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	11219539	Chromosome	2011-08-01	
GCF_000237345.1	ASM23734v1	Naumovozyma castellii CBS 4309		type strain:CBS 4309					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	11219539	Chromosome	2011-08-01	
GCA_002079055.1	ASM207905v1	Saccharomyces paradoxus		CBS432					Annotation submitted by SC	12021328	Chromosome	2017-03-21	
GCF_002079055.1	ASM207905v1	Saccharomyces paradoxus		CBS432					Annotation submitted by SC	12021328	Chromosome	2017-03-21	
GCA_000026365.1	ASM2636v1	Zygosaccharomyces rouxii		CBS 732					Annotation submitted by Genolevures Consortium	9764635	Chromosome	2009-06-05	
GCF_000026365.1	ASM2636v1	Zygosaccharomyces rouxii		CBS 732					Annotation submitted by Genolevures Consortium	9764635	Chromosome	2009-06-05	
GCA_000243375.1	ASM24337v1	Torulaspora delbrueckii		type strain:CBS 1146					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	9220678	Chromosome	2011-12-08	
GCF_000243375.1	ASM24337v1	Torulaspora delbrueckii		type strain:CBS 1146					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	9220678	Chromosome	2011-12-08	
GCA_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340		CBS 6340					Annotation submitted by Génolevures Consortium	10392862	Chromosome	2009-06-05	
GCF_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340		CBS 6340					Annotation submitted by Génolevures Consortium	10392862	Chromosome	2009-06-05	
GCA_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517		type strain:CBS 2517					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	11130140	Chromosome	2012-01-17	
GCF_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517		type strain:CBS 2517					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	11130140	Chromosome	2012-01-17	
GCA_000315915.1	ASM31591v1	Tetrapisispora blattae CBS 6284		type strain:CBS 6284					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	14048593	Chromosome	2012-05-11	
GCF_000315915.1	ASM31591v1	Tetrapisispora blattae CBS 6284		type strain:CBS 6284					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	14048593	Chromosome	2012-05-11	
GCA_000348985.1	ASM34898v1	Kazachstania naganishii CBS 8797		type strain:CBS 8797					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	10845821	Chromosome	2012-09-05	
GCF_000348985.1	ASM34898v1	Kazachstania naganishii CBS 8797		type strain:CBS 8797					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	10845821	Chromosome	2012-09-05	
GCA_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421		type strain:CBS 421					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	13527580	Chromosome	2012-08-20	
GCF_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421		type strain:CBS 421					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	13527580	Chromosome	2012-08-20	
GCA_900535975.1	OLHI0	[Candida] hispaniensis		CBS 9996						10652573	Chromosome	2018-08-29	
GCA_031590215.1	ASM3159021v1	Kazachstania bulderi		CBS 8638						14466915	Chromosome	2023-09-18	
GCA_000002945.2	ASM294v2	Schizosaccharomyces pombe		972h-					Annotation submitted by S. pombe European Sequencing Consortium (EUPOM)	12571820	Chromosome	2007-11-09	
GCF_000002945.1	ASM294v2	Schizosaccharomyces pombe		972h-					Annotation submitted by PomBase	12571820	Chromosome	2007-11-09	
GCA_000182965.3	ASM18296v3	Candida albicans SC5314		SC5314					CGD A22-s07-m01-r01	14282666	Chromosome	2016-10-12	
GCF_000182965.3	ASM18296v3	Candida albicans SC5314		SC5314					CGD A22-s07-m01-r01	14282666	Chromosome	2016-10-12	
GCA_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4		FGSC A4					Annotation submitted by Eurofungbase (Eurofung)	29828291	Chromosome	2009-09-24	
GCF_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4		FGSC A4					Annotation submitted by Eurofungbase (Eurofung)	29828291	Chromosome	2009-09-24	
GCA_014117465.1	ASM1411746v1	Aspergillus flavus NRRL3357		NRRL3357					Annotation submitted by University of Georgia	36995582	Chromosome	2020-08-09	
GCF_014117465.1	ASM1411746v1	Aspergillus flavus NRRL3357		NRRL3357					Annotation submitted by University of Georgia	36995582	Chromosome	2020-08-09	
GCF_000002525.2	ASM252v1	Yarrowia lipolytica CLIB122		CLIB122					Annotation submitted by Genolevures Consortium	20502981	Chromosome	2004-07-02	
GCA_000027005.1	ASM2700v1	Komagataella phaffii GS115		GS115					Annotation submitted by Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium	9216378	Chromosome	2009-05-25	
GCF_000027005.1	ASM2700v1	Komagataella phaffii GS115		GS115					Annotation submitted by Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium	9216378	Chromosome	2009-05-25	
GCA_011022315.1	ASM1102231v1	Saccharomyces pastorianus		CBS 1483					Annotation submitted by Delft University of Technology	22966002	Chromosome	2020-02-26	
GCA_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289		IMI 58289					Annotation submitted by HMGU-IBIS	43832314	Chromosome	2013-08-20	
GCF_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289		IMI 58289					Annotation submitted by HMGU-IBIS	43832314	Chromosome	2013-08-20	
GCA_029632965.1	ASM2963296v1	Komagataella pastoris					EAMORG09			9216088	Chromosome	2023-04-10	
GCA_000315875.1	ASM31587v1	Candida orthopsilosis Co 90-125		Co 90-125					Annotation submitted by Trinity College Dublin	12659401	Chromosome	2012-03-14	
GCF_000315875.1	ASM31587v1	Candida orthopsilosis Co 90-125		Co 90-125					Annotation submitted by Trinity College Dublin	12659401	Chromosome	2012-03-14	
GCA_034423695.1	ASM3442369v1	Penicillium polonicum		KACC_93368						33750493	Chromosome	2023-12-17	
GCA_900007375.1	ASM90000737v1	Fusarium venenatum		A3/5					Annotation submitted by ROTHAMSTED RESEARCH	38581574	Chromosome	2018-03-01	
GCF_900007375.1	ASM90000737v1	Fusarium venenatum		A3/5					Annotation submitted by ROTHAMSTED RESEARCH	38581574	Chromosome	2018-03-01	
